,Date,Team,Score,Opponent,Opponent Score,Location,Spread,OU,Win Percent
0,2023-11-21,Northeastern,66.45053284431563,Georgia Southern,66.09742814998381,1,0.3531046943318188,132.54796099429944,0.458
0,2023-11-21,Chicago St.,67.37488761119559,Northern Colorado,73.6111863251513,1,-6.236298713955705,140.98607393634688,0.955
0,2023-11-21,Valparaiso,68.59842181249769,Western Illinois,67.1477230693111,0,1.4506987431865923,135.7461448818088,0.332
0,2023-11-21,Indiana St.,76.22331957400728,Rice,75.29891371089649,1,0.9244058631107919,151.52223328490376,0.367
0,2023-11-21,Detroit Mercy,74.4427321431723,Eastern Michigan,70.27034980970294,0,4.172382333469358,144.71308195287523,0.084
0,2023-11-21,Eastern Kentucky,79.66551246563077,Prairie View A&M,63.32841738349765,0,16.337095082133118,142.99392984912842,0.0
0,2023-11-21,The Citadel,68.82834299164254,North Carolina Central,68.40084727897667,1,0.4274957126658734,137.2291902706192,0.466
0,2023-11-21,Cal St. Northridge,75.07149204692824,Le Moyne,65.16645771896,0,9.905034327968238,140.23794976588823,0.003
0,2023-11-21,New Hampshire,68.52539717502657,Marist,66.15236197196278,0,2.373035203063793,134.67775914698933,0.206
0,2023-11-21,Maryland,83.03187601967036,UMBC,60.06536265028858,0,22.966513369381786,143.09723866995893,0.0
0,2023-11-21,Hawaii,71.45493121044541,Northern Arizona,63.95558828256578,0,7.499342927879631,135.41051949301118,0.006
0,2023-11-21,East Carolina,74.69145181995835,Kennesaw St.,66.15903304025352,0,8.532418779704827,140.85048486021185,0.001
0,2023-11-21,Minnesota,78.85974538265863,Arkansas Pine Bluff,61.14993058519257,0,17.70981479746606,140.0096759678512,0.0
0,2023-11-21,Appalachian St.,68.96018227915789,UNC Wilmington,67.29402246259411,1,1.666159816563777,136.254204741752,0.281
0,2023-11-21,Monmouth,71.01325848591526,Lehigh,70.08760973044281,0,0.9256487554724515,141.10086821635807,0.369
0,2023-11-21,Louisiana Tech,75.443241373811,Southern Utah,64.35876718594503,0,11.084474187865979,139.80200855975602,0.0
0,2023-11-21,Campbell,68.085601833726,Idaho St.,66.73092294261708,0,1.354678891108918,134.8165247763431,0.343
0,2023-11-21,Columbia,76.86125390113502,LIU,66.76697479554923,0,10.094279105585784,143.62822869668423,0.0
0,2023-11-21,Duke,81.66669496783761,La Salle,60.80807819837834,0,20.858616769459275,142.47477316621595,0.0
0,2023-11-21,UC Irvine,73.38977196637353,Pepperdine,69.54702720970646,1,3.8427447566670736,142.93679917608,0.096
0,2023-11-21,Fresno St.,68.66656664705906,New Mexico St.,65.33725396869971,1,3.3293126783593436,134.00382061575877,0.125
0,2023-11-21,Army,68.32050929636688,Albany,67.89798749503576,1,0.42252180133111494,136.21849679140263,0.443
0,2023-11-21,TCU,82.21057000640829,Alcorn St.,59.182630670870566,0,23.027939335537724,141.39320067727886,0.0
0,2023-11-21,Morgan St.,65.05530262775883,Radford,75.0311936309753,1,-9.97589100321646,140.08649625873414,1.0
0,2023-11-21,Texas St.,68.64686656504922,McNeese St.,70.34089440517397,1,-1.6940278401247468,138.98776097022318,0.708
0,2023-11-21,Davidson,72.95599043259769,Boston University,61.127475605738255,0,11.828514826859433,134.08346603833593,0.001
0,2023-11-21,Auburn,85.21384022908879,Alabama A&M,55.069938205014914,0,30.143902024073874,140.2837784341037,0.0
0,2023-11-21,Oral Roberts,74.57882869915308,Texas Southern,70.97865565712195,0,3.6001730420311304,145.55748435627504,0.11
0,2023-11-21,Southern Illinois,66.99059711614986,James Madison,70.72454542780068,1,-3.7339483116508205,137.71514254395055,0.92
0,2023-11-21,Ball St.,75.55383189651397,USC Upstate,68.84314129585388,0,6.710690600660087,144.39697319236785,0.009
0,2023-11-22,Baylor,78.55538740594278,Oregon St.,61.407881181226315,1,17.147506224716466,139.9632685871691,0.0
0,2023-11-22,Tennessee Martin,74.96625054253812,North Alabama,74.956472383838,0,0.009778158700115114,149.92272292637614,0.504
0,2023-11-22,Nebraska,76.12743700847979,Duquesne,68.70696162448867,0,7.420475383991118,144.83439863296846,0.004
0,2023-11-22,Southern Miss,72.63317501222905,South Dakota St.,69.54553298672631,0,3.0876420255027313,142.17870799895536,0.11
0,2023-11-22,Kansas St.,87.63923628250774,Central Arkansas,60.638465553574086,0,27.000770728933652,148.27770183608183,0.0
0,2023-11-22,Colgate,73.9486961968875,Harvard,66.81015712101936,0,7.138539075868138,140.75885331790687,0.0
0,2023-11-22,Memphis,74.16136320991497,Michigan,71.61472891412392,1,2.5466342957910513,145.77609212403888,0.196
0,2023-11-22,Rice,72.6916712399112,New Mexico,81.74566795678287,1,-9.053996716871666,154.43733919669407,0.996
0,2023-11-22,Appalachian St.,70.28329811285845,Murray St.,70.3118854271155,1,-0.0285873142570523,140.59518353997396,0.513
0,2023-11-22,St. Bonaventure,80.3308326831171,Bucknell,58.61486445063421,0,21.715968232482886,138.9456971337513,0.0
0,2023-11-22,Temple,67.92244452585125,Mississippi,70.0158859138201,0,-2.093441387968852,137.93833043967135,0.744
0,2023-11-22,South Florida,73.36373221764454,Maine,61.907498593821515,0,11.456233623823024,135.27123081146607,0.0
0,2023-11-22,Queens,78.27802083553613,Fairleigh Dickinson,68.81802666802672,0,9.459994167509407,147.09604750356283,0.002
0,2023-11-22,Florida,72.45478603295574,Pittsburgh,68.8622252132465,1,3.5925608197092345,141.31701124620224,0.122
0,2023-11-22,Northern Kentucky,72.06697689655083,Texas A&M Corpus Chris,66.44313367602199,0,5.6238432205288404,138.5101105725728,0.061
0,2023-11-22,Missouri,87.08938321748084,South Carolina St.,61.79725019842143,0,25.292133019059413,148.88663341590228,0.0
0,2023-11-22,Montana St.,68.4670355647615,UC Riverside,67.75814213486471,0,0.7088934298967899,136.22517769962622,0.4
0,2023-11-22,UT Arlington,72.36435078924026,Alcorn St.,66.93211651124038,0,5.432234277999882,139.29646730048063,0.039
0,2023-11-22,Louisiana Tech,74.96656165483597,McNeese St.,68.57832803467909,0,6.388233620156882,143.54488968951506,0.016
0,2023-11-22,Merrimack,66.67501887473172,North Carolina A&T,63.546558593622414,1,3.128460281109305,130.22157746835413,0.154
0,2023-11-22,Massachusetts,78.07053630207011,Central Connecticut,65.71440261056416,0,12.356133691505946,143.7849389126343,0.0
0,2023-11-22,Seattle,81.75942306465798,Idaho,60.60496480532622,0,21.15445825933176,142.3643878699842,0.0
0,2023-11-22,San Francisco,78.57847799108765,Purdue Fort Wayne,63.89243054139311,0,14.686047449694541,142.47090853248076,0.0
0,2023-11-22,Cincinnati,76.36074909345403,Georgia Tech,64.41444872320103,0,11.946300370252999,140.77519781665507,0.0
0,2023-11-22,Incarnate Word,64.99056031586736,Jacksonville St.,73.1053443272058,0,-8.114784011338443,138.09590464307314,0.996
0,2023-11-22,Toledo,71.25584734470385,UC Irvine,74.20004636813776,1,-2.94419902343391,145.4558937128416,0.84
0,2023-11-22,Cleveland St.,72.23445736242022,East Tennessee St.,65.55220447067249,0,6.682252891747723,137.7866618330927,0.013
0,2023-11-22,Notre Dame,73.89578109886867,Maryland Eastern Shore,60.05122331180658,0,13.844557787062087,133.94700441067525,0.0
0,2023-11-22,Indiana St.,76.74731821068745,Pepperdine,73.88061384354776,1,2.8667043671396897,150.6279320542352,0.179
0,2023-11-22,Northern Iowa,66.32091169812122,North Carolina,78.59151852676773,1,-12.270606828646507,144.91243022488896,1.0
0,2023-11-22,Stanford,69.47122160031444,Arkansas,75.26243377098928,1,-5.791212170674839,144.7336553713037,0.984
0,2023-11-22,Southern Utah,66.14415293972448,Texas St.,69.01924737639379,1,-2.8750944366693147,135.16340031611827,0.814
0,2023-11-22,Colorado St.,74.51173487661103,Boston College,69.52848082946058,1,4.983254047150453,144.0402157060716,0.042
0,2023-11-22,Presbyterian,67.87043819595291,Tennessee Tech,66.24077930919378,0,1.629658886759131,134.1112175051467,0.288
0,2023-11-22,Little Rock,74.24273622294513,Georgia St.,72.09084651313175,0,2.151889709813375,146.3335827360769,0.233
0,2023-11-22,Villanova,67.90501195754719,Texas Tech,65.1611781622171,1,2.74383379533009,133.0661901197643,0.155
0,2023-11-22,Grambling St.,62.79542419811897,Sam Houston St.,69.70613735076778,1,-6.910713152648803,132.50156154888674,0.996
0,2023-11-22,Creighton,75.51448686020544,Loyola Chicago,65.94651866939772,1,9.567968190807719,141.46100552960314,0.0
0,2023-11-22,Samford,79.79961263122068,Alabama St.,60.6901561557268,0,19.109456475493886,140.48976878694748,0.0
0,2023-11-22,Campbell,68.98497152460075,The Citadel,67.48997157252731,0,1.4949999520734423,136.47494309712806,0.297
0,2023-11-22,Old Dominion,69.42680653403012,Princeton,68.64302847157238,0,0.783778062457742,138.0698350056025,0.39
0,2023-11-22,American,66.54073752259528,Mount St. Mary's,64.8042849013589,0,1.7364526212363813,131.34502242395416,0.258
0,2023-11-22,Air Force,74.81154445462246,VMI,58.87982194013226,0,15.931722514490204,133.6913663947547,0.0
0,2023-11-23,Penn St.,66.31989689818339,Texas A&M,73.9679890637828,1,-7.648092165599408,140.2878859619662,0.995
0,2023-11-23,Seton Hall,67.00501634352366,USC,72.51980630556788,1,-5.514789962044219,139.52482264909156,0.966
0,2023-11-23,Vanderbilt,72.33075556470119,N.C. State,74.89476343734904,1,-2.5640078726478492,147.22551900205025,0.771
0,2023-11-23,Arizona St.,68.28478495629385,BYU,73.95638736323785,1,-5.671602406944004,142.2411723195317,0.976
0,2023-11-23,Arizona,74.35284957043346,Michigan St.,71.68430862730224,1,2.6685409431312195,146.03715819773572,0.164
0,2023-11-23,Butler,66.28235855042291,Florida Atlantic,74.29153576688192,1,-8.009177216459008,140.57389431730485,0.997
0,2023-11-23,Iowa St.,68.86009365917226,VCU,62.56725809886019,1,6.292835560312078,131.42735175803244,0.013
0,2023-11-23,Oklahoma,72.6226207434301,Iowa,72.88795638607323,1,-0.26533564264312304,145.51057712950333,0.548
0,2023-11-23,Virginia Tech,70.74908228802919,Boise St.,71.44880854382927,1,-0.699726255800087,142.19789083185844,0.581
0,2023-11-24,Oklahoma St.,87.06904913968701,Houston Christian,60.358851708367766,0,26.710197431319244,147.42790084805478,0.0
0,2023-11-24,Belmont,77.41191469646498,Monmouth,68.25039896272862,1,9.161515733736351,145.66231365919361,0.001
0,2023-11-24,Rice,70.92796750651097,UC Irvine,72.76918842351515,1,-1.8412209170041791,143.6971559300261,0.755
